Periood;time;SOC;TIM;D04
01.01.2023;0:00:00;67,5;0,5;10,6
01.01.2023;1:00:00;67,2;0,6;12,3
01.01.2023;2:00:00;67,4;0,7;12
01.01.2023;3:00:00;67,3;0,5;10,9
01.01.2023;4:00:00;67,6;0,6;11,5
01.01.2023;5:00:00;67,6;0,6;11,4
01.01.2023;6:00:00;68,7;0,6;11,3
01.01.2023;7:00:00;68,9;0,6;11,4
01.01.2023;8:00:00;68,2;0,6;15,7
01.01.2023;9:00:00;68,8;0,6;16,6
01.01.2023;10:00:00;90,8;0,6;18,3
01.01.2023;11:00:00;79,8;0,6;17,5
01.01.2023;12:00:00;74;0,6;17,3
01.01.2023;13:00:00;75,5;0,6;19
01.01.2023;14:00:00;70,6;0,6;14,8
01.01.2023;15:00:00;74,2;1,6;20,3
01.01.2023;16:00:00;70,8;0,6;18,5
01.01.2023;17:00:00;70,1;0,6;20,3
01.01.2023;18:00:00;70;0,6;18,9
01.01.2023;19:00:00;68,9;0,6;19
01.01.2023;20:00:00;67,4;0,6;22,2
01.01.2023;21:00:00;66,8;0,6;22
01.01.2023;22:00:00;64,6;0,6;19,6
01.01.2023;23:00:00;65,9;0,6;17,9
02.01.2023;0:00:00;64,8;0,6;14
02.01.2023;1:00:00;64,1;0,6;11,9
02.01.2023;2:00:00;64,8;0,7;11,4
02.01.2023;3:00:00;67,3;0,5;10,8
02.01.2023;4:00:00;69,6;0,6;11
02.01.2023;5:00:00;93,4;0,6;11,1
02.01.2023;6:00:00;115;0,6;11,9
02.01.2023;7:00:00;125;0,6;13,4
02.01.2023;8:00:00;137,4;0,6;15,2
02.01.2023;9:00:00;158,3;0,6;16,3
02.01.2023;10:00:00;159,5;0,6;14,5
02.01.2023;11:00:00;159,4;0,6;15,1
02.01.2023;12:00:00;161,5;0,6;21,3
02.01.2023;13:00:00;165;0,6;19
02.01.2023;14:00:00;162,6;0,6;19,2
02.01.2023;15:00:00;163,6;0,6;16,9
02.01.2023;16:00:00;150,1;0,7;19,6
02.01.2023;17:00:00;142,2;0,6;23,3
02.01.2023;18:00:00;132,2;0,6;20,6
02.01.2023;19:00:00;118,3;0,6;23,4
02.01.2023;20:00:00;96,4;0,6;25,1
02.01.2023;21:00:00;79,1;0,6;21,3
02.01.2023;22:00:00;73,2;0,6;21,9
02.01.2023;23:00:00;71,5;0,6;17,6
03.01.2023;0:00:00;70,6;0,6;12,7
03.01.2023;1:00:00;70,8;0,6;10,4
03.01.2023;2:00:00;71;0,6;9,6
03.01.2023;3:00:00;70,1;0,6;9,4
03.01.2023;4:00:00;71,1;0,6;9,4
03.01.2023;5:00:00;75;0,6;9,9
03.01.2023;6:00:00;89,2;0,6;11,2
03.01.2023;7:00:00;134,1;0,6;11,9
03.01.2023;8:00:00;158,7;0,6;15,8
03.01.2023;9:00:00;213,6;0,6;16,7
03.01.2023;10:00:00;224,6;0,6;18,7
03.01.2023;11:00:00;219,4;0,6;18,6
03.01.2023;12:00:00;209,2;0,6;17,2
03.01.2023;13:00:00;173,5;0,6;19,7
03.01.2023;14:00:00;170,1;0,6;19,1
03.01.2023;15:00:00;166,6;0,6;20,3
03.01.2023;16:00:00;156,4;0,6;19,7
03.01.2023;17:00:00;140,3;0,6;25,9
03.01.2023;18:00:00;134;0,6;24,7
03.01.2023;19:00:00;121,7;0,5;26,4
03.01.2023;20:00:00;104,1;0,6;25,7
03.01.2023;21:00:00;94,5;0,7;23,1
03.01.2023;22:00:00;78,5;0,5;23,7
03.01.2023;23:00:00;71,1;0,6;20,5
04.01.2023;0:00:00;71;0,6;13,9
04.01.2023;1:00:00;69,6;0,6;12,7
04.01.2023;2:00:00;68,8;0,6;11,9
04.01.2023;3:00:00;79,3;0,6;11
04.01.2023;4:00:00;112,5;0,6;11
04.01.2023;5:00:00;117,7;0,6;11,2
04.01.2023;6:00:00;125,3;0,6;11,4
04.01.2023;7:00:00;157,9;0,6;12,9
04.01.2023;8:00:00;194,7;0,6;15
04.01.2023;9:00:00;172,8;0,6;17,7
04.01.2023;10:00:00;176,7;0,6;20,7
04.01.2023;11:00:00;171,9;0,6;21,6
04.01.2023;12:00:00;178,9;0,6;19,1
04.01.2023;13:00:00;175,2;0,6;19,6
04.01.2023;14:00:00;169,4;0,6;22,4
04.01.2023;15:00:00;166,7;0,7;24,4
04.01.2023;16:00:00;167;0,5;22,2
04.01.2023;17:00:00;145,9;0,6;20,3
04.01.2023;18:00:00;134,9;0,6;24
04.01.2023;19:00:00;122;0,6;21,8
04.01.2023;20:00:00;106,6;0,6;26,4
04.01.2023;21:00:00;91,6;0,6;23,7
04.01.2023;22:00:00;75,3;0,6;18,4
04.01.2023;23:00:00;69,5;0,6;17,8
05.01.2023;0:00:00;68,4;0,6;14,5
05.01.2023;1:00:00;71,3;0,6;11,1
05.01.2023;2:00:00;68,3;0,6;10,3
05.01.2023;3:00:00;68,1;0,6;10,2
05.01.2023;4:00:00;68,5;0,6;10,5
05.01.2023;5:00:00;72,4;0,6;10,1
05.01.2023;6:00:00;109,9;0,6;10,4
