datetime,temp,humidity,precip,windspeed,cloudcover
2023-02-01T00:00:00,-1,92.92,0,14.8,28.9
2023-02-01T01:00:00,-1.9,92.83,0,11,89.7
2023-02-01T02:00:00,-1.9,92.87,0,9.3,50.7
2023-02-01T03:00:00,-0.9,92.87,0,7.6,100
2023-02-01T04:00:00,0,86.57,0,5.5,100
2023-02-01T05:00:00,0,86.58,0,5.5,99.9
2023-02-01T06:00:00,0,86.57,0,7.5,99.8
2023-02-01T07:00:00,0,93,0,7.5,98.9
2023-02-01T08:00:00,0,93.02,0,7.6,99.9
2023-02-01T09:00:00,-1,92.98,0,5.4,89.7
2023-02-01T10:00:00,0,86.6,0,7.5,89.7
2023-02-01T11:00:00,0,86.57,0.001,9.3,89.7
2023-02-01T12:00:00,0,86.48,0,7.5,89.6
2023-02-01T13:00:00,0,86.5,0,9.3,100
2023-02-01T14:00:00,0,86.49,0.001,11,89.7
2023-02-01T15:00:00,0,86.51,0,7.6,89.7
2023-02-01T16:00:00,0,86.51,0,9.3,100
2023-02-01T17:00:00,0,86.51,0,7.5,100
2023-02-01T18:00:00,0,92.9,0.002,11,89.7
2023-02-01T19:00:00,0,92.96,0,11,50.7
2023-02-01T20:00:00,0,92.99,0,7.6,50.7
2023-02-01T21:00:00,0,86.56,0,7.5,50.7
2023-02-01T22:00:00,0,92.94,0,7.6,89.7
2023-02-01T23:00:00,0,93,0,7.6,50.7
2023-02-02T00:00:00,0,92.98,0,11.2,100
2023-02-02T01:00:00,0,92.96,0,11.2,99.9
2023-02-02T02:00:00,0,92.9,0,11.2,99.9
2023-02-02T03:00:00,0,92.89,0,11.3,89.6
2023-02-02T04:00:00,0,92.91,0.097,13,99.9
2023-02-02T05:00:00,0,92.91,0,18.4,99.9
2023-02-02T06:00:00,0,86.26,0,16.7,99.9
2023-02-02T07:00:00,0,86.27,0.099,16.6,99.9
2023-02-02T08:00:00,0,80.28,0,16.7,89.6
2023-02-02T09:00:00,0,80.17,0,13.2,89.6
2023-02-02T10:00:00,0,80.22,0.003,14.9,89.6
2023-02-02T11:00:00,0,74.65,0,18.4,89.4
2023-02-02T12:00:00,0,80.21,0,15,99.9
2023-02-02T13:00:00,0,80.24,0.001,13.2,99.9
2023-02-02T14:00:00,0,80.21,0,13.2,29.9
2023-02-02T15:00:00,0,86.18,0,16.6,29.5
2023-02-02T16:00:00,0,80.27,0,14.9,29.7
2023-02-02T17:00:00,-1,79.91,0,14.9,50
2023-02-02T18:00:00,-1,74.36,0,11.4,28.9
2023-02-02T19:00:00,0,64.39,0,11.3,88.3
2023-02-02T20:00:00,-1,69.13,0,13,99.2
2023-02-02T21:00:00,-1,69.07,0,13,99.7
2023-02-02T22:00:00,-1,68.98,0,13,99.9
2023-02-02T23:00:00,-1,64.01,0,13,99.9
